zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95386,Waterford,,CA,Stanislaus County,37.68,-120.64,7503,
95387,Westley,,CA,Stanislaus County,37.54,-121.29,1113,
95388,Winton,,CA,Merced County,37.41,-120.59,9257,
95389,Yosemite National Park,"Tuolumne Mdws, Tuolumne Meadows, Wawona, Yosemite Ntpk",CA,Mariposa County,37.69,-119.59,1136,
95391,Tracy,"Mountain House, Mtn House",CA,San Joaquin County,37.76,-121.63,7031,
95397,Modesto,,CA,Stanislaus County,37.65,-120.99,0,
95401,Santa Rosa,,CA,Sonoma County,38.44,-122.78,26704,
95402,Santa Rosa,,CA,Sonoma County,38.47,-122.6,3300,
95403,Santa Rosa,Larkfield,CA,Sonoma County,38.5,-122.76,33257,
95404,Santa Rosa,,CA,Sonoma County,38.45,-122.68,29799,
95405,Santa Rosa,,CA,Sonoma County,38.43,-122.67,18155,
95406,Santa Rosa,,CA,Sonoma County,38.45,-122.72,849,
95407,Santa Rosa,,CA,Sonoma County,38.39,-122.75,26764,
95409,Santa Rosa,Kenwood,CA,Sonoma County,38.45,-122.59,21790,
95410,Albion,,CA,Mendocino County,39.21,-123.69,676,
95412,Annapolis,,CA,Sonoma County,38.71,-123.33,0,
95415,Boonville,,CA,Mendocino County,38.99,-123.36,1236,
95416,Boyes Hot Springs,Boyes Hot Spg,CA,Sonoma County,38.31,-122.48,2731,
95417,Branscomb,Laytonville,CA,Mendocino County,39.69,-123.61,0,
95418,Calpella,Ukiah,CA,Mendocino County,39.15,-123.2,507,
95419,Camp Meeker,,CA,Sonoma County,38.42,-122.95,0,
95420,Caspar,,CA,Mendocino County,39.36,-123.78,0,
95421,Cazadero,,CA,Sonoma County,38.56,-123.2,1034,
95422,Clearlake,,CA,Lake County,38.96,-122.64,7530,
95423,Clearlake Oaks,Clearlake Oks,CA,Lake County,39.05,-122.55,2370,
95424,Clearlake Park,Clearlake Pk,CA,Lake County,38.97,-122.66,0,
95425,Cloverdale,,CA,Sonoma County,38.78,-122.92,8841,
95426,Cobb,,CA,Lake County,38.83,-122.71,1723,
95427,Comptche,,CA,Mendocino County,39.24,-123.53,0,
95428,Covelo,,CA,Mendocino County,39.82,-123.16,1328,
95429,Dos Rios,,CA,Mendocino County,39.73,-123.33,0,
95430,Duncans Mills,,CA,Sonoma County,38.44,-123.05,0,
95431,Eldridge,,CA,Sonoma County,38.34,-122.51,0,
95432,Elk,,CA,Mendocino County,39.12,-123.62,0,
95433,El Verano,,CA,Sonoma County,38.29,-122.48,873,
95435,Finley,,CA,Lake County,39,-122.87,563,
95436,Forestville,,CA,Sonoma County,38.48,-122.9,4585,
95437,Fort Bragg,,CA,Mendocino County,39.47,-123.63,11000,
95439,Fulton,,CA,Sonoma County,38.49,-122.77,838,
95441,Geyserville,,CA,Sonoma County,38.74,-123.13,2362,
95442,Glen Ellen,,CA,Sonoma County,38.38,-122.52,2862,
95443,Glenhaven,,CA,Lake County,39.04,-122.74,0,
95444,Graton,,CA,Sonoma County,38.43,-122.86,1154,
95445,Gualala,,CA,Mendocino County,38.82,-123.51,2247,
95446,Guerneville,,CA,Sonoma County,38.52,-123.01,3558,
95448,Healdsburg,,CA,Sonoma County,38.63,-122.89,14838,
95449,Hopland,,CA,Mendocino County,38.93,-123.11,1330,
95450,Jenner,,CA,Sonoma County,38.51,-123.21,0,
95451,Kelseyville,,CA,Lake County,38.91,-122.79,8100,
95452,Kenwood,,CA,Sonoma County,38.42,-122.54,1581,
95453,Lakeport,,CA,Lake County,39.04,-122.93,7976,
95454,Laytonville,,CA,Mendocino County,39.8,-123.5,1687,
95456,Little River,Littleriver,CA,Mendocino County,39.25,-123.73,540,
95457,Lower Lake,,CA,Lake County,38.88,-122.55,2786,
95458,Lucerne,,CA,Lake County,39.12,-122.76,1687,
95459,Manchester,,CA,Mendocino County,39,-123.62,0,
95460,Mendocino,,CA,Mendocino County,39.3,-123.73,2343,
95461,Middletown,Loch Lomond,CA,Lake County,38.78,-122.58,2984,
95462,Monte Rio,"Russian River, Russian River Mdws",CA,Sonoma County,38.45,-123.01,836,
95463,Navarro,,CA,Mendocino County,39.21,-123.54,0,
95464,Nice,,CA,Lake County,39.12,-122.84,1536,
95465,Occidental,,CA,Sonoma County,38.41,-123.01,1774,
95466,Philo,,CA,Mendocino County,39.07,-123.52,1058,
95467,Hidden Valley Lake,Hidden Vl Lk,CA,Lake County,38.8,-122.55,3858,"no NWS data, "
95468,Point Arena,,CA,Mendocino County,38.91,-123.58,978,
95469,Potter Valley,,CA,Lake County,39.37,-123.02,1399,
95470,Redwood Valley,Redwood Vly,CA,Mendocino County,39.32,-123.23,4791,
95471,Rio Nido,,CA,Sonoma County,38.52,-122.97,0,
95472,Sebastopol,Freestone,CA,Sonoma County,38.4,-122.86,21680,
95473,Sebastopol,,CA,Sonoma County,38.4,-122.82,1470,
95476,Sonoma,,CA,Sonoma County,38.24,-122.46,24893,
95480,Stewarts Point,Stewarts Pt,CA,Sonoma County,38.64,-123.37,0,
95481,Talmage,,CA,Mendocino County,39.12,-123.16,1221,
95482,Ukiah,,CA,Mendocino County,39.12,-123.28,21879,
95485,Upper Lake,,CA,Lake County,39.26,-122.96,1933,
